Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Client,Chrome 72.0.3626.121,,2019-03-24 18:30:16,2019-03-24 18:30:28,11.543s,PASSED
,,,,,,
Test Cases/CreateTicket,Chrome 72.0.3626.121,,2019-03-24 18:30:16,2019-03-24 18:30:28,11.309s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-24 18:30:17,2019-03-24 18:30:20,3.136s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 72.0.3626.121,,2019-03-24 18:30:20,2019-03-24 18:30:21,0.864s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/button_Login""))",Chrome 72.0.3626.121,,2019-03-24 18:30:21,2019-03-24 18:30:22,1.162s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 72.0.3626.121,,2019-03-24 18:30:22,2019-03-24 18:30:22,0.548s,PASSED
delay(1),Chrome 72.0.3626.121,,2019-03-24 18:30:22,2019-03-24 18:30:23,1.022s,PASSED
"setText(findTestObject(""Page_Sign In with Auth0/input_or_email""), ""client@conductor.com"")",Chrome 72.0.3626.121,,2019-03-24 18:30:23,2019-03-24 18:30:24,0.365s,PASSED
"setEncryptedText(findTestObject(""Page_Sign In with Auth0/input_or_password""), ""zjPxhPuRQFuVYAs0Abtybw=="")",Chrome 72.0.3626.121,,2019-03-24 18:30:24,2019-03-24 18:30:24,0.205s,PASSED
"click(findTestObject(""Page_Sign In with Auth0/span_Log In""))",Chrome 72.0.3626.121,,2019-03-24 18:30:24,2019-03-24 18:30:24,0.094s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/a_Create Ticket""))",Chrome 72.0.3626.121,,2019-03-24 18:30:24,2019-03-24 18:30:26,1.923s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/img""))",Chrome 72.0.3626.121,,2019-03-24 18:30:26,2019-03-24 18:30:26,0.166s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/div_Select""))",Chrome 72.0.3626.121,,2019-03-24 18:30:26,2019-03-24 18:30:26,0.139s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/div_API DevOps""))",Chrome 72.0.3626.121,,2019-03-24 18:30:26,2019-03-24 18:30:26,0.183s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/form_Ticket FormTicket TypebugfeatureCategory of issueAPI DevOpsTitleYour MessageResetSubmit""))",Chrome 72.0.3626.121,,2019-03-24 18:30:26,2019-03-24 18:30:26,0.102s,PASSED
"setText(findTestObject(""Object Repository/Page_Conductor Support Ticket/input_Title_title""), ""test1"")",Chrome 72.0.3626.121,,2019-03-24 18:30:26,2019-03-24 18:30:27,0.220s,PASSED
"setText(findTestObject(""Object Repository/Page_Conductor Support Ticket/textarea_Your Message_description""), ""t"")",Chrome 72.0.3626.121,,2019-03-24 18:30:27,2019-03-24 18:30:27,0.118s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/button_Submit""))",Chrome 72.0.3626.121,,2019-03-24 18:30:27,2019-03-24 18:30:27,0.098s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-24 18:30:27,2019-03-24 18:30:28,0.686s,PASSED
