Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 73.0.3683.86,,2019-04-09 21:32:51,2019-04-09 21:34:44,1m - 53.309s,PASSED
,,,,,,
Test Cases/Authentication/AdminLoginPass,Chrome 73.0.3683.86,,2019-04-09 21:32:51,2019-04-09 21:33:04,13.087s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:32:51,2019-04-09 21:32:55,3.463s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:32:55,2019-04-09 21:32:55,0.731s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:32:55,2019-04-09 21:32:58,2.317s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:32:58,2019-04-09 21:32:58,0.567s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:32:58,2019-04-09 21:32:59,1.023s,PASSED
"setText(findTestObject(""Page_Sign In with Auth0/input_or_email""), ""admin@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:32:59,2019-04-09 21:33:00,0.365s,PASSED
"setEncryptedText(findTestObject(""Page_Sign In with Auth0/input_or_password""), ""zjPxhPuRQFuVYAs0Abtybw=="")",Chrome 73.0.3683.86,,2019-04-09 21:33:00,2019-04-09 21:33:00,0.221s,PASSED
"click(findTestObject(""Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:33:00,2019-04-09 21:33:00,0.105s,PASSED
"verifyElementPresent(findTestObject(""Page_Conductor Support Ticket/button_Logout""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:00,2019-04-09 21:33:03,3.299s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:33:03,2019-04-09 21:33:04,0.662s,PASSED
,,,,,,
Test Cases/Authentication/AdminWrongPasswordFail,Chrome 73.0.3683.86,,2019-04-09 21:33:04,2019-04-09 21:33:12,7.932s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:33:04,2019-04-09 21:33:06,2.233s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:33:06,2019-04-09 21:33:07,0.794s,PASSED
"click(findTestObject(""Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:33:07,2019-04-09 21:33:09,1.507s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:09,2019-04-09 21:33:09,0.538s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:33:09,2019-04-09 21:33:10,1.004s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_email""), ""admin@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:33:10,2019-04-09 21:33:10,0.295s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_password""), ""o6CDTymj93o="")",Chrome 73.0.3683.86,,2019-04-09 21:33:10,2019-04-09 21:33:11,0.116s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:33:11,2019-04-09 21:33:11,0.088s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/span_Wrong email or password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:11,2019-04-09 21:33:11,0.540s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:33:11,2019-04-09 21:33:12,0.633s,PASSED
,,,,,,
Test Cases/Authentication/BaLoginPass,Chrome 73.0.3683.86,,2019-04-09 21:33:12,2019-04-09 21:33:22,9.999s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:33:12,2019-04-09 21:33:14,2.228s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:33:14,2019-04-09 21:33:15,0.722s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:33:15,2019-04-09 21:33:16,1.460s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:16,2019-04-09 21:33:17,0.536s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:33:17,2019-04-09 21:33:18,1.002s,PASSED
"setText(findTestObject(""Page_Sign In with Auth0/input_or_email""), ""dev@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:33:18,2019-04-09 21:33:18,0.409s,PASSED
"setEncryptedText(findTestObject(""Page_Sign In with Auth0/input_or_password""), ""zjPxhPuRQFuVYAs0Abtybw=="")",Chrome 73.0.3683.86,,2019-04-09 21:33:18,2019-04-09 21:33:19,0.172s,PASSED
"click(findTestObject(""Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:33:19,2019-04-09 21:33:19,0.087s,PASSED
"verifyElementPresent(findTestObject(""Page_Conductor Support Ticket/button_Logout""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:19,2019-04-09 21:33:21,2.569s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:33:21,2019-04-09 21:33:22,0.667s,PASSED
,,,,,,
Test Cases/Authentication/BaWrongPasswordFail,Chrome 73.0.3683.86,,2019-04-09 21:33:22,2019-04-09 21:33:30,8.090s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:33:22,2019-04-09 21:33:24,2.151s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:33:24,2019-04-09 21:33:25,0.787s,PASSED
"click(findTestObject(""Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:33:25,2019-04-09 21:33:27,1.576s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:27,2019-04-09 21:33:27,0.540s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:33:27,2019-04-09 21:33:28,1.002s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_email""), ""ba@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:33:28,2019-04-09 21:33:28,0.282s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_password""), ""o6CDTymj93o="")",Chrome 73.0.3683.86,,2019-04-09 21:33:28,2019-04-09 21:33:29,0.189s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:33:29,2019-04-09 21:33:29,0.144s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/span_Wrong email or password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:29,2019-04-09 21:33:29,0.549s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:33:29,2019-04-09 21:33:30,0.634s,PASSED
,,,,,,
Test Cases/Authentication/Client2LoginPass,Chrome 73.0.3683.86,,2019-04-09 21:33:30,2019-04-09 21:33:40,10.146s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:33:30,2019-04-09 21:33:32,2.194s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:33:32,2019-04-09 21:33:33,0.766s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:33:33,2019-04-09 21:33:35,1.467s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:35,2019-04-09 21:33:35,0.572s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:33:35,2019-04-09 21:33:36,1.000s,PASSED
"setText(findTestObject(""Page_Sign In with Auth0/input_or_email""), ""client2@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:33:36,2019-04-09 21:33:37,0.331s,PASSED
"setEncryptedText(findTestObject(""Page_Sign In with Auth0/input_or_password""), ""zjPxhPuRQFuVYAs0Abtybw=="")",Chrome 73.0.3683.86,,2019-04-09 21:33:37,2019-04-09 21:33:37,0.310s,PASSED
"click(findTestObject(""Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:33:37,2019-04-09 21:33:37,0.085s,PASSED
"verifyElementPresent(findTestObject(""Page_Conductor Support Ticket/button_Logout""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:37,2019-04-09 21:33:39,2.467s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:33:39,2019-04-09 21:33:40,0.659s,PASSED
,,,,,,
Test Cases/Authentication/Client2WrongPasswordFail,Chrome 73.0.3683.86,,2019-04-09 21:33:40,2019-04-09 21:33:48,7.898s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:33:40,2019-04-09 21:33:42,2.182s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:33:42,2019-04-09 21:33:43,0.747s,PASSED
"click(findTestObject(""Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:33:43,2019-04-09 21:33:45,1.501s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:45,2019-04-09 21:33:45,0.544s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:33:45,2019-04-09 21:33:46,1.002s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_email""), ""client2@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:33:46,2019-04-09 21:33:47,0.303s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_password""), ""o6CDTymj93o="")",Chrome 73.0.3683.86,,2019-04-09 21:33:47,2019-04-09 21:33:47,0.123s,PASSED
"click(findTestObject(""Object Repository/Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:33:47,2019-04-09 21:33:47,0.091s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/span_Wrong email or password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:47,2019-04-09 21:33:47,0.546s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:33:47,2019-04-09 21:33:48,0.734s,PASSED
,,,,,,
Test Cases/Authentication/ClientLoginPass,Chrome 73.0.3683.86,,2019-04-09 21:33:48,2019-04-09 21:33:58,10.111s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:33:48,2019-04-09 21:33:50,2.209s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:33:50,2019-04-09 21:33:51,0.735s,PASSED
"click(findTestObject(""Object Repository/Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:33:51,2019-04-09 21:33:53,1.439s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:53,2019-04-09 21:33:53,0.549s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:33:53,2019-04-09 21:33:54,1.002s,PASSED
"setText(findTestObject(""Page_Sign In with Auth0/input_or_email""), ""client@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:33:54,2019-04-09 21:33:54,0.334s,PASSED
"setEncryptedText(findTestObject(""Page_Sign In with Auth0/input_or_password""), ""zjPxhPuRQFuVYAs0Abtybw=="")",Chrome 73.0.3683.86,,2019-04-09 21:33:54,2019-04-09 21:33:55,0.150s,PASSED
"click(findTestObject(""Page_Sign In with Auth0/span_Log In""))",Chrome 73.0.3683.86,,2019-04-09 21:33:55,2019-04-09 21:33:55,0.086s,PASSED
"verifyElementPresent(findTestObject(""Page_Conductor Support Ticket/button_Logout""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:33:55,2019-04-09 21:33:57,2.805s,PASSED
closeBrowser(),Chrome 73.0.3683.86,,2019-04-09 21:33:57,2019-04-09 21:33:58,0.647s,PASSED
,,,,,,
Test Cases/Authentication/ClientWrongPasswordFail,Chrome 73.0.3683.86,,2019-04-09 21:33:58,2019-04-09 21:34:07,9.111s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,,2019-04-09 21:33:58,2019-04-09 21:34:01,2.246s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 73.0.3683.86,,2019-04-09 21:34:01,2019-04-09 21:34:01,0.761s,PASSED
"click(findTestObject(""Page_Conductor Support Ticket/button_Login""))",Chrome 73.0.3683.86,,2019-04-09 21:34:01,2019-04-09 21:34:04,2.574s,PASSED
"verifyElementPresent(findTestObject(""Page_Sign In with Auth0/input_or_password""), 5)",Chrome 73.0.3683.86,,2019-04-09 21:34:04,2019-04-09 21:34:04,0.554s,PASSED
delay(1),Chrome 73.0.3683.86,,2019-04-09 21:34:04,2019-04-09 21:34:05,1.002s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign In with Auth0/input_or_email""), ""client@conductor.com"")",Chrome 73.0.3683.86,,2019-04-09 21:34:05,2019-04-09 21:34:06,0.302s,PASSED
